mac_address,user_id,product_id,rank
77760085-ae0c-4aa5-8d73-2d2052733271,,280,7
14d70047-fef1-4325-b3c7-0e2af9dd82d7,,229,5
14d70047-fef1-4325-b3c7-0e2af9dd82d7,,324,11
14d70047-fef1-4325-b3c7-0e2af9dd82d7,,322,5
14d70047-fef1-4325-b3c7-0e2af9dd82d7,,323,24
294c4fbb-e995-4adf-8300-516e520f02dd,,659944,26
294c4fbb-e995-4adf-8300-516e520f02dd,,638658,33
294c4fbb-e995-4adf-8300-516e520f02dd,,16094,29
294c4fbb-e995-4adf-8300-516e520f02dd,,39,25
06692d8a-4605-4980-a007-5a17121c86b8,,1388,40
FF1544CD-3B7C-43A0-904C-0A23AD6A475A,,643650,1
FF1544CD-3B7C-43A0-904C-0A23AD6A475A,,643574,11
FF1544CD-3B7C-43A0-904C-0A23AD6A475A,,643583,7
FF1544CD-3B7C-43A0-904C-0A23AD6A475A,,643685,1
FF1544CD-3B7C-43A0-904C-0A23AD6A475A,,643588,4
FF1544CD-3B7C-43A0-904C-0A23AD6A475A,,643578,2
FF1544CD-3B7C-43A0-904C-0A23AD6A475A,,643721,2
FF1544CD-3B7C-43A0-904C-0A23AD6A475A,,643589,5
FF1544CD-3B7C-43A0-904C-0A23AD6A475A,,643768,19
FF1544CD-3B7C-43A0-904C-0A23AD6A475A,,636454,25
FF1544CD-3B7C-43A0-904C-0A23AD6A475A,,643623,1
FF1544CD-3B7C-43A0-904C-0A23AD6A475A,,643666,1
FF1544CD-3B7C-43A0-904C-0A23AD6A475A,,643587,1
FF1544CD-3B7C-43A0-904C-0A23AD6A475A,,643697,1
FF1544CD-3B7C-43A0-904C-0A23AD6A475A,,643582,4
7DDA75B5-96DB-461C-8F1B-933D874885E8,,649260,13
4facddb8-965f-42a1-b815-90fbb697c3f8,,661856,26
4facddb8-965f-42a1-b815-90fbb697c3f8,,661867,69
4facddb8-965f-42a1-b815-90fbb697c3f8,,661814,36
4facddb8-965f-42a1-b815-90fbb697c3f8,,661847,57
4facddb8-965f-42a1-b815-90fbb697c3f8,,661863,52
4facddb8-965f-42a1-b815-90fbb697c3f8,,661892,31
4facddb8-965f-42a1-b815-90fbb697c3f8,,661850,29
4facddb8-965f-42a1-b815-90fbb697c3f8,,661811,18
4facddb8-965f-42a1-b815-90fbb697c3f8,,661841,25
4facddb8-965f-42a1-b815-90fbb697c3f8,,661844,63
8B8DC475-1ABD-4EF1-ADC2-2FDB7304AED3,,652804,10
8B8DC475-1ABD-4EF1-ADC2-2FDB7304AED3,,663195,20
582470c7-ecf7-4c65-a91f-bfd77e2a06d3,,618360,9
582470c7-ecf7-4c65-a91f-bfd77e2a06d3,,625493,6
582470c7-ecf7-4c65-a91f-bfd77e2a06d3,,660380,4
582470c7-ecf7-4c65-a91f-bfd77e2a06d3,,625481,4
582470c7-ecf7-4c65-a91f-bfd77e2a06d3,,672921,4
582470c7-ecf7-4c65-a91f-bfd77e2a06d3,,625484,9
582470c7-ecf7-4c65-a91f-bfd77e2a06d3,,661133,8
582470c7-ecf7-4c65-a91f-bfd77e2a06d3,,672922,4
582470c7-ecf7-4c65-a91f-bfd77e2a06d3,,625482,17
582470c7-ecf7-4c65-a91f-bfd77e2a06d3,,672923,1
f0e258d5-17f6-4b1f-bc12-439cb83d99fa,,127,6
f0e258d5-17f6-4b1f-bc12-439cb83d99fa,,7544,6
e3e63762-2f4d-4ea0-a5ba-1e542c8be5a8,,81,7
8e228653-d69e-4bad-be26-328846fad87a,,411,1
8e228653-d69e-4bad-be26-328846fad87a,,83,9
8e228653-d69e-4bad-be26-328846fad87a,,82,15
8e228653-d69e-4bad-be26-328846fad87a,,110,7
8e228653-d69e-4bad-be26-328846fad87a,,67,24
8e228653-d69e-4bad-be26-328846fad87a,,99,12
8e228653-d69e-4bad-be26-328846fad87a,,1391,6
8e228653-d69e-4bad-be26-328846fad87a,,111,17
8f556cea-a296-4094-9465-00e078d25ce6,,638658,26
8f556cea-a296-4094-9465-00e078d25ce6,,16,6
8f556cea-a296-4094-9465-00e078d25ce6,,9,7
d186c5cd-c664-4ce2-9190-69540189dd23,,669503,23
c966f0db-967a-4108-954a-9f911c1b6299,,16279,14
UP1A.230905.011,4787,670204,2
UP1A.230905.011,4787,648514,3
UP1A.230905.011,4787,648513,13
UP1A.230905.011,4787,672583,2
UP1A.230905.011,4787,648566,65
UP1A.230905.011,4787,648579,6
90d7f3f4-072c-4a70-a452-20117271f332,,37,10
FC4A7C87-C4C5-4B08-AAC0-264C11588C2A,,645354,52
FC4A7C87-C4C5-4B08-AAC0-264C11588C2A,,648488,1010
FC4A7C87-C4C5-4B08-AAC0-264C11588C2A,,648499,9
UQ1A.240105.004,,633305,2
UQ1A.240105.004,,633309,2
UQ1A.240105.004,,645864,64
UQ1A.240105.004,,646064,17
UQ1A.240105.004,,651986,15
UQ1A.240105.004,,652154,3
UQ1A.240105.004,,651994,20
UQ1A.240105.004,,645840,3
UQ1A.240105.004,,645842,3
UQ1A.240105.004,,645924,51
UQ1A.240105.004,,645851,3
67d73af7-3d7d-4f72-ad33-220adc0ad3c8,,232,19
276343a4-505b-4cc0-8ef6-8d6fedf4b221,,280,5
EFE827F1-98A9-4196-9EED-050FBC329F1D,,643620,5
EFE827F1-98A9-4196-9EED-050FBC329F1D,,643701,4
EFE827F1-98A9-4196-9EED-050FBC329F1D,,643621,2
EFE827F1-98A9-4196-9EED-050FBC329F1D,,643589,4
EFE827F1-98A9-4196-9EED-050FBC329F1D,,643695,4
EFE827F1-98A9-4196-9EED-050FBC329F1D,,643574,13
EFE827F1-98A9-4196-9EED-050FBC329F1D,,643606,5
EFE827F1-98A9-4196-9EED-050FBC329F1D,,643815,2
TP1A.220624.014,6530,644149,5
TP1A.220624.014,6530,648495,5
TP1A.220624.014,6530,664042,3
TP1A.220624.014,6530,648500,5
TP1A.220624.014,6530,664011,12
TP1A.220624.014,6530,648040,4
TP1A.220624.014,6530,664007,2
TP1A.220624.014,6530,644166,14
TP1A.220624.014,6530,644998,8
TP1A.220624.014,6530,652290,7
TP1A.220624.014,6530,662470,8
